"id","ts","temp_c","led_on","raw_adc","v_volts","rt_kohm","device_id","source"
"1616","2025-11-14 10:58:37.373715-03","23.120",False,NULL,NULL,NULL,"esp8266-d2","serial"
"1615","2025-11-14 10:58:27.362986-03","23.120",False,NULL,NULL,NULL,"esp8266-d2","serial"
"1614","2025-11-14 10:58:17.352049-03","23.030",False,NULL,NULL,NULL,"esp8266-d2","serial"
"1613","2025-11-14 10:58:07.341733-03","23.050",False,NULL,NULL,NULL,"esp8266-d2","serial"
"1612","2025-11-14 10:57:57.331631-03","23.220",False,NULL,NULL,NULL,"esp8266-d2","serial"
"1611","2025-11-14 10:57:47.320565-03","23.150",False,NULL,NULL,NULL,"esp8266-d2","serial"
"1610","2025-11-14 10:57:37.309971-03","23.030",False,NULL,NULL,NULL,"esp8266-d2","serial"
"1609","2025-11-14 10:57:27.300051-03","23.110",False,NULL,NULL,NULL,"esp8266-d2","serial"
"1608","2025-11-14 10:57:17.289368-03","23.060",False,NULL,NULL,NULL,"esp8266-d2","serial"
"1607","2025-11-14 10:57:07.278343-03","23.210",False,NULL,NULL,NULL,"esp8266-d2","serial"
"1606","2025-11-14 10:56:57.267743-03","23.210",False,NULL,NULL,NULL,"esp8266-d2","serial"
"1605","2025-11-14 10:56:47.257714-03","23.120",False,NULL,NULL,NULL,"esp8266-d2","serial"
"1604","2025-11-14 10:56:37.246991-03","23.120",False,NULL,NULL,NULL,"esp8266-d2","serial"
"1603","2025-11-14 10:56:27.236143-03","23.120",False,NULL,NULL,NULL,"esp8266-d2","serial"
"1602","2025-11-14 10:56:17.225215-03","23.300",False,NULL,NULL,NULL,"esp8266-d2","serial"
"1601","2025-11-14 10:56:07.214545-03","23.290",False,NULL,NULL,NULL,"esp8266-d2","serial"
"1600","2025-11-14 10:55:57.200273-03","23.270",False,NULL,NULL,NULL,"esp8266-d2","serial"
"1599","2025-11-14 10:55:47.193417-03","23.290",False,NULL,NULL,NULL,"esp8266-d2","serial"
"1598","2025-11-14 10:55:37.183262-03","23.290",False,NULL,NULL,NULL,"esp8266-d2","serial"
"1597","2025-11-14 10:55:27.172317-03","23.300",False,NULL,NULL,NULL,"esp8266-d2","serial"
"1596","2025-11-14 10:55:17.156457-03","23.210",False,NULL,NULL,NULL,"esp8266-d2","serial"
"1595","2025-11-14 10:55:07.151503-03","23.210",False,NULL,NULL,NULL,"esp8266-d2","serial"
"1594","2025-11-14 10:54:57.140885-03","23.120",False,NULL,NULL,NULL,"esp8266-d2","serial"
"1593","2025-11-14 10:54:47.130509-03","23.030",False,NULL,NULL,NULL,"esp8266-d2","serial"
"1592","2025-11-14 10:54:37.119664-03","23.120",False,NULL,NULL,NULL,"esp8266-d2","serial"
"1591","2025-11-14 10:54:27.109553-03","23.040",False,NULL,NULL,NULL,"esp8266-d2","serial"
"1590","2025-11-14 10:54:17.098824-03","23.120",False,NULL,NULL,NULL,"esp8266-d2","serial"
"1589","2025-11-14 10:54:07.088086-03","23.210",False,NULL,NULL,NULL,"esp8266-d2","serial"
"1588","2025-11-14 10:53:57.077889-03","23.210",False,NULL,NULL,NULL,"esp8266-d2","serial"
"1587","2025-11-14 10:53:47.067219-03","23.210",False,NULL,NULL,NULL,"esp8266-d2","serial"
"1586","2025-11-14 10:53:37.056745-03","23.210",False,NULL,NULL,NULL,"esp8266-d2","serial"
"1585","2025-11-14 10:53:27.046273-03","23.290",False,NULL,NULL,NULL,"esp8266-d2","serial"
"1584","2025-11-14 10:53:17.034884-03","23.290",False,NULL,NULL,NULL,"esp8266-d2","serial"
"1583","2025-11-14 10:53:07.024791-03","23.480",False,NULL,NULL,NULL,"esp8266-d2","serial"
"1582","2025-11-14 10:52:57.01451-03","23.470",False,NULL,NULL,NULL,"esp8266-d2","serial"
"1581","2025-11-14 10:52:47.003771-03","23.290",False,NULL,NULL,NULL,"esp8266-d2","serial"
"1580","2025-11-14 10:52:36.993185-03","23.210",False,NULL,NULL,NULL,"esp8266-d2","serial"
"1579","2025-11-14 10:52:26.982444-03","23.290",False,NULL,NULL,NULL,"esp8266-d2","serial"
"1578","2025-11-14 10:52:16.972094-03","23.290",False,NULL,NULL,NULL,"esp8266-d2","serial"
"1577","2025-11-14 10:52:06.96136-03","23.280",False,NULL,NULL,NULL,"esp8266-d2","serial"
"1576","2025-11-14 10:51:56.951115-03","23.210",False,NULL,NULL,NULL,"esp8266-d2","serial"
"1575","2025-11-14 10:51:46.940098-03","23.200",False,NULL,NULL,NULL,"esp8266-d2","serial"
"1574","2025-11-14 10:51:36.930031-03","23.120",False,NULL,NULL,NULL,"esp8266-d2","serial"
"1573","2025-11-14 10:51:26.918897-03","23.210",False,NULL,NULL,NULL,"esp8266-d2","serial"
"1572","2025-11-14 10:51:16.908459-03","23.210",False,NULL,NULL,NULL,"esp8266-d2","serial"
"1571","2025-11-14 10:51:06.897763-03","23.210",False,NULL,NULL,NULL,"esp8266-d2","serial"
"1570","2025-11-14 10:50:56.887459-03","23.300",False,NULL,NULL,NULL,"esp8266-d2","serial"
"1569","2025-11-14 10:50:46.876886-03","23.360",False,NULL,NULL,NULL,"esp8266-d2","serial"
"1568","2025-11-14 10:50:36.866284-03","23.300",False,NULL,NULL,NULL,"esp8266-d2","serial"
"1567","2025-11-14 10:50:26.855627-03","23.120",False,NULL,NULL,NULL,"esp8266-d2","serial"
"1566","2025-11-14 10:50:16.845313-03","23.110",False,NULL,NULL,NULL,"esp8266-d2","serial"
"1565","2025-11-14 10:50:06.834659-03","23.120",False,NULL,NULL,NULL,"esp8266-d2","serial"
"1564","2025-11-14 10:49:56.824418-03","23.170",False,NULL,NULL,NULL,"esp8266-d2","serial"
"1563","2025-11-14 10:49:46.813754-03","23.120",False,NULL,NULL,NULL,"esp8266-d2","serial"
"1562","2025-11-14 10:49:36.803122-03","23.120",False,NULL,NULL,NULL,"esp8266-d2","serial"
"1561","2025-11-14 10:49:26.792849-03","23.210",False,NULL,NULL,NULL,"esp8266-d2","serial"
"1560","2025-11-14 10:49:16.78212-03","23.210",False,NULL,NULL,NULL,"esp8266-d2","serial"
